Date,Probable Total,Probable New
4/30/2020,123,2
5/1/2020,126,3
5/2/2020,128,2
5/3/2020,131,3
5/4/2020,134,3
5/5/2020,138,4
5/6/2020,143,5
5/7/2020,145,2
5/8/2020,151,6
5/9/2020,160,9
5/10/2020,161,1
5/11/2020,164,3
5/12/2020,168,4
5/13/2020,169,1
5/14/2020,174,5
5/15/2020,178,4
5/16/2020,186,8
5/17/2020,189,3
5/18/2020,190,1
5/19/2020,204,14
5/20/2020,213,9
5/21/2020,232,19
5/22/2020,243,11
5/23/2020,257,14
5/24/2020,274,17
5/25/2020,293,19
5/26/2020,313,20
5/27/2020,323,10
5/28/2020,329,6
5/29/2020,345,16
5/30/2020,353,8
5/31/2020,359,6
6/1/2020,365,6
6/2/2020,373,8
6/3/2020,375,2
6/4/2020,376,1
6/5/2020,380,4
6/6/2020,383,3
6/7/2020,393,10
6/8/2020,398,5
6/9/2020,408,10
6/10/2020,420,12
6/11/2020,428,8
6/12/2020,436,8
6/13/2020,443,7
6/14/2020,448,5
6/15/2020,457,9
6/16/2020,467,10
6/17/2020,487,20
6/18/2020,492,5
6/19/2020,497,5
6/20/2020,501,4
6/21/2020,504,3
6/22/2020,511,7
6/23/2020,515,4
6/24/2020,526,11
6/25/2020,534,8
6/26/2020,540,6
6/27/2020,543,3
6/28/2020,547,4
6/29/2020,556,9
6/30/2020,562,6
7/1/2020,572,10
7/2/2020,581,9
7/3/2020,590,9
7/4/2020,601,11
7/5/2020,614,13
7/6/2020,629,15
7/7/2020,646,17
7/8/2020,664,18
7/9/2020,682,18
7/10/2020,688,6
7/11/2020,704,16
7/12/2020,739,35
7/13/2020,744,5
7/14/2020,762,18
7/15/2020,766,4
7/16/2020,791,25
7/17/2020,796,5
7/18/2020,815,19
7/19/2020,830,15
7/20/2020,860,30
7/21/2020,894,34
7/22/2020,937,43
7/23/2020,961,24
7/24/2020,985,24
7/25/2020,1026,41
7/26/2020,1049,23
7/27/2020,1081,32
7/28/2020,1113,32
7/29/2020,1130,17
7/30/2020,1163,33
7/31/2020,1168,5
8/1/2020,1179,11
8/2/2020,1199,20
8/3/2020,1214,15
8/4/2020,1232,18
8/5/2020,1259,27
8/6/2020,1282,23
8/7/2020,1295,13
8/8/2020,1311,16
8/9/2020,1319,8
8/10/2020,1341,22
8/11/2020,1349,8
8/12/2020,1366,17
8/13/2020,1383,17
8/14/2020,1406,23
8/15/2020,1408,2
8/16/2020,1422,14
8/17/2020,1439,17
8/18/2020,1439,0
8/19/2020,1462,23
8/20/2020,1478,16
8/21/2020,1492,14
8/22/2020,1511,19
8/23/2020,1527,16
8/24/2020,1545,18
8/25/2020,1568,23
8/26/2020,1599,31
8/27/2020,1603,4
8/28/2020,1628,25
8/29/2020,1646,18
8/30/2020,1661,15
8/31/2020,1666,5
9/1/2020,1683,17
9/2/2020,1701,18
9/3/2020,1726,25
9/4/2020,1744,18
9/5/2020,1754,10
9/6/2020,1772,18
9/7/2020,1794,22
9/8/2020,1804,10
9/9/2020,1835,31
9/10/2020,1845,10
9/11/2020,1868,23
9/12/2020,1881,13
9/13/2020,1903,22
9/14/2020,1916,13
9/15/2020,1930,14
9/16/2020,1954,24
9/17/2020,1979,25
9/18/2020,2008,29
9/19/2020,2029,21
9/20/2020,2048,19
9/21/2020,2072,24
9/22/2020,2080,8
9/23/2020,2127,47
9/24/2020,2165,38
9/25/2020,2200,35
9/26/2020,2224,24
9/27/2020,2250,26
9/28/2020,2284,34
9/29/2020,2318,34
9/30/2020,2366,48
10/1/2020,2402,36
10/2/2020,2430,28
10/3/2020,2477,47
10/4/2020,2520,43
10/5/2020,2534,14
10/6/2020,2567,33
10/7/2020,2598,31
10/8/2020,2675,77
10/9/2020,2704,29
10/10/2020,2739,35
10/11/2020,2791,52
10/12/2020,2842,51
10/13/2020,2873,31
10/14/2020,2918,45
10/15/2020,2950,32
10/16/2020,3004,54
10/17/2020,3059,55
10/18/2020,3110,51
10/19/2020,3179,69
10/20/2020,3239,60
10/21/2020,3324,85
10/22/2020,3404,80
10/23/2020,3480,76
10/24/2020,3561,81
10/25/2020,3639,78
10/26/2020,3708,69
10/27/2020,3719,11
10/28/2020,3720,1
